Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Метка начала кадра (0x0FF1), -,2,целое,326
Идентификационный номер КА SatID, -,2,целое,328
Определитель кадра Loc ID, -,2,целое,330
Номер кадра, -,2,целое,332
Время записи (генерации) кадра , -,4,целое,334
Версия  ТМИ СЭС 1 (PAM), -,2,uint16_t,338
Полная вырабатываемая мощность СБ,мВт,2,uint16_t,340
Ключи питня PAM (копия для ТМИ) (битовая маска), -,2,битовая маска,342
Статус Power Good линий питания PAM, -,2,битовая маска,344
Статус Отказов (ошибок) PAM и линий птиания PAM, -,4,битовая маска,346
PAM датчик 1,°C,1,int8_t,350
PAM датчик 2,°C,1,int8_t,351
PAM датчик 3,°C,1,int8_t,352
PAM датчик 4,°C,1,int8_t,353
Медианная температура PAM,°C,1,int8_t,354
Статус Ideal Diode входных силовых каналов солн.пан. PAM, -,1,битовая маска,355
Статус Ошибок входных силовых каналов солн.пан. PAM, -,1,битовая маска,356
 Напряжение панели Ch1 - Y+,мВ,2,uint16_t,357
 Напряжение панели Ch2 - X-,мВ,2,uint16_t,359
 Напряжение панели Ch3 - Y-,мВ,2,uint16_t,361
 Напряжение панели Ch4 - X+,мВ,2,uint16_t,363
 Напряжение откидных панелей LT1 (LT8490) (X- Folding),мВ,2,uint16_t,365
 Напряжение откидных панелей LT2 (LT8490) (X+ Folding),мВ,2,uint16_t,367
Ток панели Ch1 - Y+,мА,2,int16_t,369
Ток панели Ch2 - X-,мА,2,int16_t,371
Ток панели Ch3 - Y-,мА,2,int16_t,373
Ток панели Ch4 - X+,мА,2,int16_t,375
Ток откидных панелей LT1 (LT8490) (X- Folding),мА,2,int16_t,377
Ток откидных панелей LT2 (LT8490) (X+ Folding),мА,2,int16_t,379
Статус солнечной откидной панели Ch1 X- Folding, -,2,битовая маска,381
Статус солнечных  панели Ch2 X-, -,2,битовая маска,383
Статус солнечной откидной панели Ch3 X+  Folding, -,2,битовая маска,385
Статус солнечных  панели Ch4 X+, -,2,битовая маска,387
Статус солнечных  панели Ch5 Y+, -,2,битовая маска,389
Статус солнечных  панели Ch6 Y-, -,2,битовая маска,391
Температура откидной панели Ch1 X- Folding датчик 1,°C,1,int8_t,393
Температура откидной панели  Ch1 X- Folding датчик 2,°C,1,int8_t,394
Температура откидной панели Ch1 X- Folding датчик 3,°C,1,int8_t,395
Температура откидной панели Ch1 X- Folding датчик 4,°C,1,int8_t,396
Температура панели Ch2 X- датчик 1,°C,1,int8_t,397
Температура панели Ch2 X- датчик 2,°C,1,int8_t,398
Температура панели Ch2 X- датчик 3,°C,1,int8_t,399
Температура панели Ch2 X- датчик 4,°C,1,int8_t,400
Температура откидной панели Ch3 X+ Folding  датчик 1,°C,1,int8_t,401
Температура откидной панели Ch3 X+ Folding  датчик 2,°C,1,int8_t,402
Температура откидной панели Ch3 X+ Folding  датчик 3,°C,1,int8_t,403
Температура откидной панели Ch3 X+ Folding  датчик 4,°C,1,int8_t,404
Температура панели Ch4 X+ датчик 1,°C,1,int8_t,405
Температура панели Ch4 X+ датчик 2,°C,1,int8_t,406
Температура панели Ch4 X+ датчик 3,°C,1,int8_t,407
Температура панели Ch4 X+ датчик 4,°C,1,int8_t,408
Температура панели Ch5 Y+ датчик 1,°C,1,int8_t,409
Температура панели Ch5 Y+ датчик 2,°C,1,int8_t,410
Температура панели Ch5 Y+ датчик 3,°C,1,int8_t,411
Температура панели Ch5 Y+ датчик 4,°C,1,int8_t,412
Температура панели Ch6 Y- датчик 1,°C,1,int8_t,413
Температура панели Ch6 Y- датчик 2,°C,1,int8_t,414
Температура панели Ch6 Y- датчик 3,°C,1,int8_t,415
Температура панели Ch6 Y- датчик 4,°C,1,int8_t,416
Медианная температура откидной панели Ch1 X- Folding,°C,1,int8_t,417
Медианная температура панели Ch2 X-,°C,1,int8_t,418
Медианная температура откидной панели Ch3 X+  Folding,°C,1,int8_t,419
Медианная температура панели Ch4 X+,°C,1,int8_t,420
Медианная температура панели Ch5 Y+,°C,1,int8_t,421
Медианная температура панели Ch6 Y-,°C,1,int8_t,422
Reserved ТМИ1,,29,,423
CRC ТМИ1,,2,uint16_t,452
