Параметр,Размерность,Размер Байт,Тип данных
Метка начала кадра (0x0FF1), -,2,hex
Определитель кадра, -,2,uint32_t
Номер кадра, -,2,uint32_t
Время записи (генерации) кадра , -,4,uint32_t
Заголовок маяка, -,24,string
Номер активного БРК, -,1,uint32_t
Количество перезапусков активного БРК, -,4,uint32_t
"Номер режима, в котором находится СмКА ", -,1,uint32_t
Мощность передатчика активного БРК,Вт,1,int32_t
Температура МК активного БРК,°C,1,int32_t
"Статус модуля активного БРК, битовая маска", -,2,hex
Напряжение смещения на усилителе мощности активного БРК,В,2,uint32_t
Уровень последнего принятого сигнала (RSSI) актив. БРК,дБм,1,int32_t
Отн. сигнал/шум последнего принят. сигнала (SNR) актив. БРК,дБ,1,int32_t
Указатель записи архива ТМИ, -,2,uint32_t
Отн. сигнал/шум последнего принят. сигнала (SNR) деж. БРК,дБ,1,int32_t
Статус МС,Битовая маска,2,hex
Статус ПН,Битовая маска,2,hex
Температура МС,°С,1,int32_t
Статус пит. ПН,Битовая маска,1,hex
Высота по Глонасс,"0,1м",4,int32_t
Широта по Глонасс,"0,0001°",4,int32_t
Долгота по Глонасс,"0,0001°",4,int32_t
Дата и время по датчику Глонасс,с,4,uint32_t
Модуль магнитной индукции,мкТл,2,uint16_t
Вектор угловой скорости  в СК КА,2000/32768 dps,6,3 * int16_t
Угол между парой векторов приоритета 1,градус,2,uint16_t
Угол между парой векторов приоритета 2,градус,2,uint16_t
Медианная температура ДСГ1,°C,1,int8_t
Медианная температура ДСГ6,°C,1,int8_t
Температура платы модуля СОП,°C,1,int8_t
"Статус модуля СОП, бит. маска (в т.ч. номер активного СОП)", -,2,uint16_t
"Статус ДСГ, битовая маска", -,6,hex
Номер ориентации (копия для ТМИ), -,1,uint8_t
Медианная температура панели +X,°C,1,int8_t
Медианная температура панели -X,°C,1,int8_t
"Статус солнечных панелей, битовая маска (в т.ч. ФЭП)", -,5,hex
Полный уровень заряда АБ в mAh,mAh,2,uint16_t
"Статус АБ, битовая маска", -,3,hex
"Статус ключей заряда и разряда АБ, битовая маска", -,2,hex
"Статус линии пит. подсистем, битовая маска", -,1,hex
Полная мощность зарядки/разрядки АБ,мВт,2,int16_t
Полная вырабатываемая мощность СБ,мВт,2,uint16_t
Полная мощность потребления КА,мВт,2,uint16_t
Медианная температура PMM (один датчик),°C,1,int8_t
Медианная температура PAM,°C,1,int8_t
Медианная температура PDM,°C,1,int8_t
"Статус элементов системы модуля СЭС, битовая маска", -,3,hex
Напряжение батарейной шины СЭС(МАЯК), -,2,uint16_t
Контрольная сумма пакета ТМИ, -,2,uint32_t
